ticker,date,pattern,setup_score,entry,result_pct,exit_reason,hold_days,bande
IONQ,2025-07-07,pocket_pivot,36.1,45.2,-0.06,stop,4,35-40
RGTI,2024-10-18,double_bottom,36.0,1.11,0.12,objectif,1,35-40
RGTI,2024-10-21,double_bottom,36.0,1.28,-0.06,stop,1,35-40
RGTI,2025-06-11,pocket_pivot,40.7,12.52,-0.06,stop,2,40-45
RGTI,2025-08-28,pocket_pivot,36.1,16.58,-0.06,stop,2,35-40
RGTI,2026-05-22,double_bottom,39.7,26.42,-0.06,stop,1,35-40
RGTI,2026-05-26,double_bottom,35.8,25.07,0.019,horizon,3,35-40
QBTS,2025-02-19,pocket_pivot,36.4,6.54,0.12,objectif,1,35-40
QUBT,2024-10-21,double_bottom,37.3,1.14,-0.06,stop,1,35-40
QUBT,2024-10-29,double_bottom,37.3,1.22,-0.06,stop,2,35-40
SOUN,2025-05-27,pocket_pivot,38.1,11.12,-0.06,stop,3,35-40
RXRX,2025-10-14,pocket_pivot,36.7,5.89,0.12,objectif,1,35-40
CIFR,2025-07-22,bull_flag,35.9,6.94,-0.06,stop,1,35-40
INOD,2025-05-08,pocket_pivot,38.2,41.11,-0.06,stop,1,35-40
AI,2024-11-06,pocket_pivot,36.8,27.7,-0.06,stop,7,35-40
AI,2025-07-02,pocket_pivot,35.0,25.82,0.12,objectif,10,30-35
AI,2025-07-17,pocket_pivot,36.2,28.36,-0.06,stop,5,35-40
PLTR,2024-09-20,pocket_pivot,40.7,37.2,0.0755,horizon,10,40-45
PLTR,2024-11-05,double_bottom,38.7,51.13,0.12,objectif,3,35-40
PLTR,2025-02-03,pocket_pivot,36.5,83.74,0.12,objectif,1,35-40
PLTR,2025-05-30,pocket_pivot,38.7,131.78,-0.06,stop,4,35-40
PLTR,2025-09-19,pocket_pivot,35.3,182.39,-0.06,stop,10,35-40
PLTR,2025-12-10,pocket_pivot,37.5,187.91,-0.06,stop,5,35-40
PLTR,2025-12-19,pocket_pivot,36.0,193.38,-0.06,stop,6,35-40
ASTS,2024-09-04,pocket_pivot,35.4,33.08,-0.06,stop,1,35-40
ASTS,2025-06-09,double_bottom,36.0,34.82,0.12,objectif,4,35-40
OKLO,2025-07-23,pocket_pivot,36.1,66.97,0.12,objectif,1,35-40
OKLO,2025-08-26,pocket_pivot,35.2,74.31,-0.06,stop,4,35-40
APLD,2024-11-18,pocket_pivot,37.6,7.75,0.12,objectif,1,35-40
APLD,2024-12-06,pocket_pivot,36.3,10.67,-0.06,stop,1,35-40
SMCI,2025-06-20,pocket_pivot,35.1,45.32,-0.06,stop,1,35-40
SMCI,2025-06-25,pocket_pivot,35.0,46.61,0.0805,horizon,10,30-35
SMCI,2025-07-15,pocket_pivot,35.8,53.17,-0.06,stop,5,35-40
AMBA,2024-08-27,pocket_pivot,40.7,52.79,0.12,objectif,1,40-45
AMBA,2024-11-22,double_bottom,37.0,63.62,0.12,objectif,3,35-40
AMBA,2024-11-27,double_bottom,41.7,72.44,0.009,horizon,10,40-45
AMBA,2025-01-06,pocket_pivot,37.8,78.18,-0.06,stop,1,35-40
AMBA,2025-02-18,pocket_pivot,36.5,82.17,-0.06,stop,4,35-40
AMBA,2025-06-24,double_bottom,42.3,62.19,0.12,objectif,3,40-45
AMBA,2025-08-13,pocket_pivot,35.5,69.24,-0.06,stop,5,35-40
AMBA,2025-08-22,pocket_pivot,37.3,71.94,0.12,objectif,5,35-40
AMBA,2025-11-06,pocket_pivot,40.7,90.62,-0.06,stop,1,40-45
AMBA,2025-11-25,pocket_pivot,36.2,90.97,-0.06,stop,1,35-40
RFIL,2025-06-30,double_bottom,35.3,6.47,0.12,objectif,4,35-40
RFIL,2025-07-07,double_bottom,35.3,7.14,-0.06,stop,8,35-40
RFIL,2025-07-22,double_bottom,35.3,8.51,-0.06,stop,5,35-40
HOOD,2024-10-30,pocket_pivot,38.7,28.21,-0.06,stop,1,35-40
HOOD,2024-12-04,pocket_pivot,35.3,40.0,-0.06,stop,4,35-40
HOOD,2025-02-12,pocket_pivot,37.7,55.91,0.12,objectif,1,35-40
HOOD,2025-06-05,pocket_pivot,36.3,72.51,0.0826,horizon,10,35-40
HOOD,2025-09-19,pocket_pivot,40.7,124.78,0.12,objectif,7,40-45
SOFI,2024-08-29,pocket_pivot,37.6,8.03,-0.06,stop,2,35-40
SOFI,2024-10-04,pocket_pivot,35.0,8.39,0.12,objectif,6,30-35
SOFI,2024-10-24,pocket_pivot,35.7,10.93,-0.06,stop,3,35-40
SOFI,2025-02-14,pocket_pivot,35.3,16.21,-0.06,stop,3,35-40
SOFI,2025-07-29,pocket_pivot,40.7,22.4,-0.06,stop,1,40-45
SOFI,2025-10-07,pocket_pivot,35.2,28.14,-0.06,stop,3,35-40
SOFI,2026-01-05,pocket_pivot,38.3,29.28,-0.06,stop,1,35-40
AL2SI.PA,2025-05-26,double_bottom,40.4,5.14,0.12,objectif,1,40-45
AL2SI.PA,2025-05-27,double_bottom,40.4,5.75,-0.06,stop,2,40-45
AL2SI.PA,2025-05-30,double_bottom,35.5,6.15,-0.06,stop,8,35-40
AL2SI.PA,2025-10-21,pocket_pivot,37.1,14.22,-0.06,stop,2,35-40
SOI.PA,2025-05-12,bull_flag,35.5,56.66,-0.06,stop,5,35-40
SOI.PA,2025-10-01,pocket_pivot,36.5,40.54,0.12,objectif,6,35-40
EXENS.PA,2025-05-21,pocket_pivot,35.3,39.35,0.12,objectif,5,35-40
EXENS.PA,2025-10-13,pocket_pivot,38.9,48.0,-0.06,stop,4,35-40
EXENS.PA,2026-02-26,pocket_pivot,35.3,62.4,0.0881,horizon,10,35-40
ASML,2025-07-15,pocket_pivot,36.1,823.02,-0.06,stop,1,35-40
